noresp;CFD;jk;usia;jmlmotor;jmlmobil;jmlsepeda;jmldewasa;jmlanak;seringnya;kendaraan;kendaraan2;ongkos;bparkir;jarak;durasi;mdhparkir;kontitroto;toplajur;kondisijln;keringat;bnykbrg;penumpang;maksud;jmlkunj;frek;bareng;suasana;keramaian;hiburan;cocokor;penasaran
254;2;2;12;2;0;0;3;1;Sepeda m;5;2;0;0;3900;15;3;2;4;2;0;0;0;3;7;Tidak te;2;4;5;5;3;1
255;2;1;16;1;2;2;2;2;Sepeda m;1;1;50000;10000;7000;15;3;2;8;2;0;1;1;3;5;Tidak te;4;4;4;4;5;2
256;2;1;18;1;0;1;2;1;Sepeda m;2;1;3000;3000;5000;10;3;2;4;1;0;0;1;3;2;Tidak te;3;4;4;4;3;1
257;1;2;21;3;1;2;5;1;Sepeda m;2;1;1083,59;3000;7000;45;3;2;4;2;1;0;1;3;9;Tidak te;1;4;4;4;3;2
258;1;2;51;2;0;1;4;0;Sepeda m;2;1;1702,79;2000;11000;30;3;2;4;2;1;1;0;3;20;Tidak te;2;5;4;4;2;1
259;1;1;22;1;0;0;1;0;Sepeda m;2;1;309,6;2000;2000;10;2;2;2;2;1;0;0;3;7;Tidak te;1;2;1;5;2;4
260;1;1;29;1;0;2;1;2;Sepeda m;2;1;387;3000;2500;15;1;2;4;1;0;0;1;3;15;Tidak te;2;4;5;4;2;2
261;1;1;17;1;1;4;1;1;Sepeda m;2;1;464,4;0;3000;15;4;2;6;2;0;0;0;3;7;Tidak te;1;4;3;5;2;1
262;1;1;22;1;1;1;4;0;Sepeda m;1;1;10000;5000;2000;45;4;2;6;2;0;1;1;3;2;Tidak te;5;4;4;4;4;5
263;1;1;19;1;0;0;0;0;Sepeda m;2;1;5000;0;2000;10;0;2;2;1;1;0;0;3;4;Tidak te;6;4;5;5;2;2
264;2;1;62;1;1;0;2;0;Sepeda m;4;2;0;0;600;10;0;3;4;2;0;0;0;3;49;Dua samp;2;4;4;4;4;2
265;1;2;25;0;0;0;3;2;Jalan ka;4;2;0;0;1800;20;0;3;2;2;0;0;1;3;50;Setiap p;4;4;5;2;5;1
266;1;2;22;2;2;3;7;0;Mobil pr;1;1;9248,55;3000;10000;45;3;2;4;2;0;0;1;3;5;Tidak te;3;4;4;5;3;3
267;1;2;22;2;1;0;3;3;Sepeda m;2;1;804,95;2000;5200;15;2;2;4;2;1;0;0;3;6;Tidak te;3;5;4;5;4;2
268;1;2;21;1;1;1;4;0;Sepeda m;2;1;5000;2000;13000;20;2;3;8;1;1;1;0;3;10;Tidak te;2;4;4;5;4;5
269;1;1;22;0;1;0;1;0;Mobil pr;1;1;924,86;5000;1000;10;2;3;4;1;0;0;1;3;3;Tidak te;1;4;3;4;2;3
270;1;2;18;0;1;0;4;0;Mobil pr;1;1;7028,9;10000;7600;16;4;3;4;2;1;1;1;3;6;Tidak te;3;4;4;5;4;2
271;2;2;34;1;1;1;4;2;Mobil pr;4;2;0;0;400;5;0;0;1;1;0;0;0;3;100;Tidak te;1;5;5;5;2;1
272;1;1;38;2;1;0;2;4;Sepeda m;1;1;5549,13;3000;6000;20;3;1;4;2;0;0;1;3;5;Tidak te;5;5;4;5;5;2
273;1;1;35;1;1;2;2;2;Mobil pr;1;1;5000;2000;2000;20;3;2;4;1;1;1;0;3;2;Tidak te;3;4;4;4;2;1
274;1;1;31;1;1;0;2;1;Sepeda m;2;1;959,75;2000;6200;20;2;2;4;2;1;0;1;3;10;Tidak te;3;5;5;5;5;2
275;2;2;40;1;1;2;2;3;Mobil pr;1;1;2774,57;3000;3000;10;2;2;4;1;1;0;1;3;3;Tidak te;5;5;4;4;2;1
276;2;1;21;3;2;1;2;0;Sepeda m;2;1;10000;3000;26000;45;1;2;8;2;1;1;1;3;3;Tidak te;2;4;4;4;2;4
